"location","month","rain","pressure","temp","speed"
"Lund","1972-12",22.6,1023.4,3.5,6.08
"Lund","1973-01",42.4,1022,0.6,4.18
"Lund","1973-02",59.8,1005.6,1.8,5.88
"Lund","1973-03",39,1020.1,4.6,4.69
"Lund","1973-04",72.1,1009.2,5,5.7
"Lund","1973-05",55.1,1016.2,11.4,4.72
"Lund","1973-06",20.4,1018.5,16.3,4.52
"Lund","1973-07",85.1,1011.5,18.3,3.79
"Lund","1973-08",20.7,1018.6,16.8,4.11
"Lund","1973-09",85.7,1014.7,12.7,5.29
"Lund","1973-10",25.7,1016.7,6.7,4.38
"Lund","1973-11",82,1007.6,2.8,7.22
"Lund","1973-12",53.5,1005.9,0.5,6.76
"Lund","1974-01",78.2,1016.1,2.1,6.13
"Lund","1974-02",40.1,1010.9,2.5,5.13
"Lund","1974-03",16.1,1021.5,3.3,7.03
"Lund","1974-04",2.5,1018.5,7.7,4.84
"Lund","1974-06",42.1,1011.8,14.6,4.62
"Lund","1974-07",64,1008.7,15.2,6.17
"Lund","1974-08",83.1,1016.3,16.5,3.8
"Lund","1974-09",65.1,1010.6,13.6,5.1
"Lund","1974-10",103,1005.3,6.6,4.94
"Lund","1974-12",110.2,1006.9,4.1,7.13
"Lund","1975-01",67.3,1008.6,4.2,7.83
"Lund","1975-02",12.3,1026.6,1.2,3.96
"Lund","1975-03",39.3,1010.7,2.8,5.15
"Lund","1975-04",55.5,1013,5.4,6.16
"Lund","1975-05",29.1,1016.8,11.3,5.68
"Lund","1975-06",13.6,1018.3,15,4.38
"Lund","1975-07",44.3,1014.7,18.5,4.54
"Lund","1975-08",25.7,1018.3,20,3.95
"Lund","1975-09",66.8,1014.4,15.2,5.17
"Lund","1975-10",44.9,1021.7,8.7,4.99
"Lund","1975-11",55.6,1016.8,4.1,5
"Lund","1975-12",33.9,1014.1,3.3,7.62
"Lund","1976-01",61.8,1007.8,-0.7,6.69
"Lund","1976-02",20.4,1023.7,-0.3,5.41
"Lund","1976-03",22,1020,-0.8,5.14
"Lund","1976-04",27.9,1017.2,5.5,4.67
"Lund","1976-05",54.3,1016,11.2,4.62
"Lund","1976-06",24.1,1017.5,15.5,5.13
"Lund","1976-07",52.6,1014.9,18.3,4.14
"Lund","1976-08",24,1019.7,17.4,3.64
"Lund","1976-09",44.4,1015.1,12.5,4.25
"Lund","1976-10",72.9,1012.6,8.4,5.46
"Lund","1976-11",45.6,1014.3,4.8,5.1
"Lund","1976-12",65.7,1006.9,-0.6,6.26
"Lund","1977-01",98.5,1011.5,-0.4,5.06
"Lund","1977-02",52.6,1008.5,0.1,5.74
"Lund","1977-03",55.1,1017.4,3.3,5.31
"Lund","1977-04",58.3,1007.9,4.5,6.37
